x,y,pp
-80.53361,-3.633611,0.0
-80.4575,-3.813333,2.1375
-80.45722,-3.508333,0.0
-80.32194,-3.440556,0.0
-80.66083,-3.948889,3.7
-73.07972,-3.485,45.0
-73.28361,-3.766944,0.0
-73.33806,-3.899722,1.5
-73.3,-3.7,0.3
-76.77944,-6.915,7.6
-79.98361,-5.183611,0.0
-79.72861,-4.643889,0.0
-79.51978,-5.56475,1.0
-78.54222,-5.660556,0.0
-80.16944,-5.101667,3.6
-78.4848,-7.166611,0.0
-76.32194,-6.593056,0.0
-78.84722,-7.084722,0.0
-78.33889,-7.203333,2.0
-78.23722,-7.220278,0.0
-78.83028,-7.355833,0.0
-78.62667,-7.033889,0.0
-78.52528,-6.6775,0.3
-78.11833,-6.864167,0.0
-78.05056,-7.626944,0.0
-78.05083,-7.830278,21.1
-77.88111,-6.2086,8.2
-77.16694,-6.046667,0.0
-78.38944,-7.237222,0.0
-78.66056,-7.254167,0.0
-77.52486,-9.516528,1.5
-77.45403,-9.729472,4.0
-77.46694,-8.783611,0.0
-77.17553,-9.586333,0.0
-74.57185,-8.413228,0.0
-75.84694,-9.1525,36.5
-76.08472,-9.677778,1.5
-75.13361,-8.333611,0.0
-75.08472,-8.474167,7.2
-75.90028,-9.100278,26.1
-76.50806,-10.491389,1.8
-74.8325,-10.954722,20.0
-75.22111,-12.004444,20.4
-74.96583,-9.372778,54.0
-76.78361,-10.516944,2.1
-75.4794,-11.7831,10.4
-74.86611,-12.393056,0.0
-76.98975,-10.477858,2.6
-76.76694,-10.666944,1.2
-76.73361,-10.916944,1.4
-76.61694,-11.466944,0.9
-76.37828,-11.839389,0.9
-76.16944,-10.321667,9.5
-75.69028,-11.396944,6.4
-75.62694,-11.253889,2.4
-75.55917,-10.050833,11.1
-75.1292,-11.7486,17.1
-74.62694,-11.22,13.2
-76.25417,-10.694444,3.9
-72.87056,-13.608333,25.4
-72.69194,-12.856111,10.0
-71.87528,-13.556944,1.7
-76.23361,-12.133611,1.7
-75.33889,-12.033611,4.8
-75.91061,-12.492056,0.0
-72.28361,-12.683611,34.6
-74.21694,-13.076667,33.1
-74.0705,-13.7504,17.3
-73.37083,-13.656944,7.2
-72.735,-13.5525,12.0
-72.54583,-13.166944,25.9
-72.12524,-13.303589,4.8
-72.21583,-13.468333,5.5
-71.84472,-13.7675,9.5
-71.68361,-13.916944,5.2
-71.59056,-13.324444,0.4
-71.56028,-13.61,0.0
-70.4975,-13.804167,0.0
-70.01806,-15.823333,3.9
-74.13556,-14.711667,13.4
-73.78361,-15.016944,8.7
-73.35583,-15.288056,5.1
-72.64861,-15.838056,0.9
-72.08861,-14.399444,18.3
-71.76694,-15.183611,18.0
-71.64944,-15.179722,17.6
-71.45306,-15.485556,32.1
-71.23722,-14.253611,27.1
-70.89806,-14.948889,10.5
-70.6775,-15.491389,22.9
-70.72833,-14.796389,1.5
-71.08778,-15.836667,46.2
-70.59278,-14.881111,0.2
-70.35556,-14.694722,0.0
-70.34639,-15.6393,4.7
-69.915,-15.796389,8.2
-70.11861,-15.135556,3.7
-69.7625,-15.203333,5.7
-69.49139,-15.389722,1.1
-69.8443,-15.6158,3.2
-69.15222,-14.22,17.0
-73.64389,-14.050833,10.0
-71.96861,-15.618611,18.5
-72.83361,-15.500278,6.2
-71.69548,-13.597756,3.0
-72.16694,-13.933611,6.0
-71.57278,-14.028056,0.0
-69.69472,-15.779444,18.6
-70.33889,-15.813333,0.0
-69.81111,-15.990861,2.2
-68.86417,-16.338889,1.6
-70.79639,-14.626944,18.2
-69.68417,-14.126944,11.3
-71.40028,-16.400278,2.2
-71.18906,-16.154722,20.2
-70.85667,-16.3825,2.4
-69.64361,-17.305,4.0
-70.69444,-16.813056,1.0
-70.25389,-17.271111,3.0
-69.64361,-16.084722,0.4
-69.45722,-16.203333,15.6
-69.0404,-16.5688,35.0
-70.06778,-16.1525,1.5
-75.20333,-8.830278,75.6
-78.54222,-7.440556,0.1
-76.73,-6.518889,0.0
-76.30028,-6.333611,69.0
-78.01229,-8.383611,0.0
-76.77944,-9.711667,3.2
-75.05083,-11.593056,7.1
-74.78583,-12.199444,3.2
-74.6775,-12.406667,0.6
-71.64722,-13.2175,7.2
-71.46778,-13.023889,51.5
-71.87861,-16.030833,5.7
-76.30128,-11.760444,0.1
-72.67054,-14.062772,12.4
-71.41481,-16.055417,4.5
-73.26045,-3.742514,0.4
-76.00511,-9.289989,27.1
-70.15596,-15.468919,2.4
-80.03389,-5.084722,4.6
-74.2,-4.6,0.0
-77.65028,-9.933611,0.2
-77.89003,-9.559667,0.0
-76.70028,-11.616944,0.0
-76.53164,-11.845083,4.6
-77.28361,-10.750278,0.5
-76.21694,-12.450278,0.0
-76.42,-12.1325,1.5
-75.54222,-13.220278,0.0
-74.9406,-14.1319,1.6
-80.89806,-4.559167,0.0
-76.70028,-4.816944,0.0
-80.49139,-4.576111,0.6
-80.25028,-4.633611,0.0
-79.99972,-4.796389,1.9
-79.96722,-5.580833,0.0
-79.88361,-5.033611,5.7
-79.79639,-5.338889,0.0
-79.83,-5.033889,0.0
-79.66694,-4.983611,0.0
-79.40667,-5.338889,0.0
-74.31694,-5.383611,44.3
-78.49139,-7.779444,0.0
-79.03389,-7.084722,0.0
-78.93083,-7.407778,0.2
-78.8376,-7.2242,0.0
-78.75506,-7.850306,2.0
-78.74556,-6.677778,0.8
-78.53361,-6.700278,0.3
-76.40667,-7.406667,2.7
-77.08444,-6.135278,0.0
-76.915,-6.101389,0.0
-76.68361,-7.433611,0.0
-76.57611,-6.813056,0.0
-76.50833,-6.508333,1.4
-76.47417,-7.118333,1.1
-76.42361,-6.423611,0.0
-76.25389,-6.067778,0.0
-76.28056,-6.778611,0.0
-76.0983,-6.5689,5.3
-75.79,-6.215833,0.0
-76.16694,-7.000278,2.0
-78.06833,-7.937222,13.5
-76.60028,-6.433611,0.0
-78.32194,-7.118611,0.0
-76.49139,-7.253889,2.1
-78.31694,-8.000278,23.8
-78.1525,-8.101667,0.0
-77.95556,-8.194722,1.1
-77.65028,-8.566944,7.0
-76.11167,-8.929722,8.2
-75.51417,-9.029722,39.0
-77.40028,-10.400278,0.0
-76.96694,-10.866944,0.0
-76.48361,-11.616944,3.2
-76.50028,-11.383611,6.0
-76.93361,-10.950278,3.6
-76.90028,-10.783611,0.0
-76.63361,-11.200278,0.0
-76.80028,-11.350278,0.0
-76.78361,-10.516944,2.1
-76.83361,-11.050278,2.4
-76.75028,-11.500278,0.7
-76.71694,-10.966944,2.5
-76.61694,-11.550278,0.6
-76.51556,-11.655306,0.3
-76.25839,-11.800806,1.0
-75.52528,-11.542222,8.3
-75.28778,-11.880833,15.1
-76.66694,-10.783611,0.0
-74.83056,-10.949167,20.0
-76.23369,-11.648194,9.7
-75.72292,-12.316667,4.9
-74.71694,-12.983611,1.6
-74.25028,-12.933611,13.8
-76.35028,-11.571556,8.2
-76.50028,-12.083611,0.0
-76.35028,-12.183611,1.8
-76.13361,-12.383611,3.4
-76.01694,-12.116944,0.0
-75.87242,-12.344667,5.4
-75.83394,-12.898833,0.0
-75.82636,-12.114944,2.2
-75.64389,-13.203333,0.8
-75.65028,-13.050278,0.0
-75.305,-13.491389,0.0
-75.27111,-13.694722,0.0
-75.23722,-12.542222,6.5
-75.03361,-13.100278,2.6
-76.62194,-11.4525,0.9
-73.94889,-13.643611,17.0
-73.71694,-13.866944,18.4
-74.33889,-13.931944,1.0
-71.67333,-13.363333,0.0
-75.16944,-14.033889,1.5
-74.23722,-14.626944,12.7
-72.91658,-15.544722,0.0
-72.66694,-15.066944,22.6
-72.76694,-15.150278,30.4
-72.34917,-15.493611,16.7
-72.33889,-15.260833,3.1
-72.27028,-15.679167,3.0
-72.11694,-15.566944,12.2
-72.10028,-15.733611,8.0
-71.81167,-15.616583,22.0
-71.45028,-15.350278,26.0
-71.31694,-15.350278,40.5
-70.91694,-15.766944,1.1
-69.96694,-15.300278,1.6
-69.86803,-14.914889,1.1
-70.18361,-14.916944,0.5
-69.49139,-15.559167,6.3
-71.58917,-16.063333,7.6
-71.21668,-15.981225,15.0
-71.14833,-16.318056,27.1
-70.6828,-16.7349,14.4
-70.42356,-16.875,19.8
-70.53725,-16.14075,16.1
-70.33889,-17.288056,3.3
-70.13278,-17.350833,3.4
-70.05028,-17.116944,1.0
-69.99972,-17.559167,5.4
-69.81306,-17.237222,10.8
-69.77944,-17.525,1.5
-69.46759,-17.393589,5.5
-69.70167,-16.740833,1.6
